IP,Time,Processor Time,Page Faults,Cache Faults,Available Bytes,Committed Bytes,Response Time
DESKTOP-Q00J1OI,12:20:02,27.595737,5675.0083,139.4135,8.8823808E8,1.34645105E10,9978160500
URMILA-PC,12:20:15,9.200149,18236.78,446.90146,4.3176018E9,5.4195978E9,4247968300
mahananda,12:20:13,6.384292,1161.2916,24.963276,1.37987686E9,4.6922998E9,8382164200
DESKTOP-Q00J1OI,12:20:32,21.983547,1317.5591,0.399079,9.3379789E8,1.34029107E10,4793038500
mahananda,12:20:33,8.978195,2465.8682,101.92015,1.37598976E9,4.6995907E9,7997644000
URMILA-PC,12:20:55,3.956711,5520.1235,14.992188,4.3100078E9,5.4116147E9,5648141400
DESKTOP-Q00J1OI,12:21:44,4.293643,1292.7106,0.998386,1.05645261E9,1.33350072E10,6521072400
mahananda,12:21:54,7.504731,543.3129,0.199821,1.3588439E9,4.7196979E9,2634203400
URMILA-PC,12:22:05,8.223209,14413.023,202.29997,4.3003208E9,5.4125896E9,7273441000
DESKTOP-Q00J1OI,12:22:15,35.011436,2702.2935,27.194902,1.02098125E9,1.33501542E10,9735255500
mahananda,12:22:14,44.425377,11735.1,498.3541,1.31074458E9,4.7881667E9,9627712800
URMILA-PC,12:22:25,10.681235,15167.522,211.16273,4.3257242E9,5.3819515E9,9598626800
DESKTOP-Q00J1OI,12:22:56,17.643822,3795.8806,23.759195,9.324544E8,1.33994619E10,8931371900
mahananda,12:22:55,50.11804,13939.466,470.63083,1.13320346E9,4.8470057E9,8931254100
URMILA-PC,12:23:05,2.970986,4259.279,15.399562,4.27728077E9,5.431337E9,9530818600
DESKTOP-Q00J1OI,12:23:06,38.069836,6410.5586,137.96237,8.581079E8,1.34707732E10,8835422400
mahananda,12:23:15,18.05932,3754.2827,34.162533,1.09493043E9,4.8724664E9,9309876000
DESKTOP-Q00J1OI,12:23:56,5.778567,1237.1919,0.799349,8.0971366E8,1.35430472E10,50104800
URMILA-PC,12:23:55,9.536786,19194.104,428.17554,4.23789363E9,5.4896804E9,50235000
mahananda,12:24:06,33.64992,7452.2295,348.28357,1.17203354E9,4.914946E9,9968787400
URMILA-PC,12:24:05,10.27394,19243.016,223.49797,4.22773146E9,5.489578E9,9701520500
DESKTOP-Q00J1OI,12:24:06,2.187372,1091.9146,0.0,8.0673178E8,1.35439729E10,1119148800
mahananda,12:24:16,5.92076,4935.5063,108.43975,1.21987072E9,4.8799334E9,9357601800
URMILA-PC,12:24:15,3.208278,6084.3228,6.794331,4.3040154E9,5.4025953E9,8188487000
mahananda,12:24:46,39.126694,8055.5645,226.16318,1.1363328E9,4.9585234E9,1796632300
DESKTOP-Q00J1OI,12:24:48,3.904802,1278.5806,3.996813,8.0803021E8,1.35377347E10,1797461800
DESKTOP-Q00J1OI,12:24:58,38.137463,7639.3975,28.088217,7.4111795E8,1.35896433E10,9589030400
URMILA-PC,12:24:55,4.122875,5563.736,11.773624,4.3448156E9,5.3605253E9,9935907000
mahananda,12:25:06,40.62118,7187.0103,326.57333,1.14371789E9,4.9318543E9,9199260700
DESKTOP-Q00J1OI,12:25:08,35.45969,2504.3333,50.741917,7.7635584E8,1.35541678E10,559401800
URMILA-PC,12:25:05,7.720002,15531.966,175.95203,4.27614208E9,5.4386319E9,9488070900
URMILA-PC,12:25:15,3.139622,5293.749,13.792052,4.3247329E9,5.3775032E9,9932184100
mahananda,12:25:16,4.734092,232.88724,4.793562,1.17390131E9,4.9069384E9,9932264500
DESKTOP-Q00J1OI,12:25:28,26.66792,1654.44,38.902184,7.7621658E8,1.35546757E10,9921554700
mahananda,12:25:26,6.620987,1097.2006,11.583114,1.23958067E9,4.8557507E9,9921619000
URMILA-PC,12:25:35,2.589303,5110.9824,1.799712,4.308566E9,5.3981061E9,9200851700
DESKTOP-Q00J1OI,12:25:38,35.960518,7495.773,151.76054,6.9347738E8,1.36394056E10,8953509000
mahananda,12:25:47,5.825761,400.66962,2.996034,1.22047283E9,4.8805806E9,10008331200
URMILA-PC,12:25:55,6.369634,4521.101,1.199974,4.3162583E9,5.3694833E9,9992149100
mahananda,12:26:07,8.331108,1401.8628,2.196964,1.21308365E9,4.8686776E9,8066265700
DESKTOP-Q00J1OI,12:26:09,31.07119,5434.849,44.515217,7.9418982E8,1.36079606E10,9880180500
URMILA-PC,12:26:15,5.477711,13578.496,0.399797,4.3341906E9,5.353472E9,9917790000
DESKTOP-Q00J1OI,12:26:19,32.86542,2120.6748,5.782209,9.2089139E8,1.36149729E10,8946399200
mahananda,12:26:27,13.382219,4178.4272,95.49093,1.2683264E9,4.9224376E9,9266112700
URMILA-PC,12:26:25,6.555554,13662.947,176.98686,4.25283994E9,5.441364E9,2230834100
mahananda,12:26:37,7.732445,316.12872,4.196399,1.32725965E9,4.8638321E9,1208425200
DESKTOP-Q00J1OI,12:26:39,41.148212,10204.517,237.13823,9.7955021E8,1.36430633E10,8741332200
URMILA-PC,12:26:45,7.526691,10439.045,150.43462,4.2838016E9,5.40851E9,9644210700
mahananda,12:26:57,3.41954,314.74982,14.379433,1.26614323E9,4.9295852E9,9260281300
DESKTOP-Q00J1OI,12:26:59,20.751581,4965.8535,14.776354,9.4289101E8,1.36320819E10,9260567200
URMILA-PC,12:27:26,3.882523,5340.468,13.786751,4.3488256E9,5.3217894E9,5670063800
